0,1,2,3,4,5,6,7
135.12023204,65.5491759834,228.583428949,152.528324934,51.4147539717,158.624840155,116.453942365,57.9153858686
84.8796325023,0.396469824902,123.661359744,65.2226803015,25.2311800617,62.1787409456,3.95724568856,2.22003795324
556.180447322,2.39109355912,48.8772014476,214.803695735,0.950615520538,206.167893578,2.88870646576,1.60739567351
135.970820464,40.5972247187,38.7223436929,97.6340772328,33.7546542156,67.9122498749,42.8412454722,86.2733582026
3.69555377196,79.0695468006,0.235581586963,1.05050879438,744.253673141,0.163724626927,0.662256906303,5.54420759755
75.3678223582,69.1020630589,63.9316864311,371.589343469,157.324249843,29.474635266,74.0789457172,101.121960437
219.488926621,205.85291295,136.49044256,35.0593624438,75.8813040014,64.5584789588,163.945629343,124.83929036
209.501653441,1097.76509107,51.9695611834,223.789130583,461.075567168,4.39588137497,351.302326772,824.096318128
51.2569544397,19.0699570661,236.569641087,117.356116194,64.3707968351,99.2835278149,186.886527182,130.286445334
191.348184968,8.82546354376,50.4014092536,48.4829888123,34.6759636549,28.5671024135,79.0464706338,59.2645535466
119.130259272,22.4010625511,89.4590293182,16.2823085423,3.23991321944,99.1614392796,167.071094257,69.3167972531
89.5627235578,181.336107454,52.7133370362,254.510039722,136.448742199,41.1469859685,134.351960374,124.817763034
110.508557622,95.0013100634,33.5037406026,106.58823909,88.4355902877,59.4395884878,81.7267805354,184.153376474
31.0909495099,199.352777721,162.045027619,81.9809482503,61.12945181,16.706295884,34.4133753092,89.3995152192
22.4337754265,49.6660946016,0.986605733837,202.641602253,153.864002087,3.61646963521,40.0927322509,37.7451539239
167.521956214,156.408264638,50.2582361659,699.875678532,291.454696766,99.8921378564,258.516956942,168.384327444
16.3923229943,33.9385895451,1.40527101305,190.112924144,64.1880988229,13.4454918145,31.1591360417,36.2053100146
42.8917304177,26.7540550385,97.4228217409,47.5406985929,33.1171038221,19.2533515388,67.511049359,36.5942199131
188.466202419,228.602212088,190.357270336,211.766526546,200.822195002,139.462833087,155.93626789,219.01083566
97.8779369328,25.6096795589,279.473550042,3.60829377291,17.7028117956,64.701610831,42.0130160614,94.2288741278
0.207293399831,584.089354943,0.31709660764,0.166530122895,0.242492204956,149.833148398,2.35783520499,0.248300188662
22.8416870896,113.942815895,77.3683353356,140.655410474,41.5493851769,31.2076006849,65.3242421441,34.663377178
5.4851513804,10.7642809968,0.195297314672,1.04938148734,333.442599265,0.216466140623,0.272772536968,10.7947741036
127.380536805,79.1256559516,114.238651472,99.5476659338,45.3257593945,57.1900427024,69.1374609054,19.7853650865
0.157575279751,101.376345587,1.75387214862,12.1351160299,1.44614895131,0.29360326124,282.288721859,12.2010240369
205.063084558,277.62778965,129.729170618,141.044368662,32.6419359989,128.58237775,728.805162131,94.6698575585
69.2003694866,17.3473599914,64.3922515896,68.8901502135,199.668323457,12.0644819498,6.37785672106,52.6990038983
28.4493508181,94.6380966428,110.408918548,131.648483106,65.4206998465,29.9589819555,31.2488733424,14.2753418307
189.009934571,252.404981114,159.08318059,278.907469321,166.839889368,89.4400930852,130.740418407,70.5603493146
89.5829356142,98.1009114993,22.9012246996,78.7607219535,33.3415295462,62.0148481464,70.4011232115,25.8779583543
14.2994247405,21.552216696,56.7454462496,126.536569932,65.9089566704,7.01720158438,45.1938427743,143.953957873
218.302971985,158.813652272,272.073410868,447.876301541,219.072735839,161.343314492,213.541434295,201.582165281
